DATE_TIME,current_contract,next_contract,carry_contract
2021-04-22 23:00:00,20210600,20210700,20210500
2021-05-21 23:00:00,20210700,20210800,20210600
2021-06-22 23:00:00,20210800,20210900,20210700
2021-07-23 23:00:00,20210900,20211000,20210800
2021-08-23 23:00:00,20211000,20211100,20210900
2021-09-22 23:00:00,20211100,20211200,20211000
2021-10-22 23:00:00,20211200,20220100,20211100
2021-11-22 23:00:00,20220100,20220200,20211200
2021-12-23 23:00:00,20220200,20220300,20220100
2022-01-20 23:00:00,20220300,20220400,20220200
2022-02-18 23:00:00,20220400,20220500,20220300
2022-03-22 23:00:00,20220500,20220600,20220400
2022-04-08 23:00:00,20220600,20220700,20220500
