DATE_TIME,current_contract,next_contract,carry_contract
2018-09-17 15:00:00,20180900,20181200,20181200
2018-12-14 14:00:00,20181200,20190300,20190300
2019-03-11 11:00:00,20190300,20190600,20190600
2019-06-18 08:00:00,20190600,20190900,20190900
2019-09-13 12:00:00,20190900,20191200,20191200
2019-12-16 15:00:00,20191200,20200300,20200300
2020-03-17 15:00:00,20200300,20200600,20200600
2020-06-15 09:00:00,20200600,20200900,20200900
2020-09-16 07:00:00,20200900,20201200,20201200
2020-12-15 14:00:00,20201200,20210300,20210300
2021-03-15 13:00:00,20210300,20210600,20210600
2021-06-15 07:00:00,20210600,20210900,20210900
2021-09-13 13:00:00,20210900,20211200,20211200
2021-12-14 17:00:02,20211200,20220300,20220300
2022-02-28 18:00:00,20220300,20220600,20220600
