DATE_TIME,current_contract,next_contract,carry_contract
2020-12-08 23:00:00,20201200,20210100,20210100
2021-01-07 23:00:00,20210100,20210200,20210200
2021-02-08 23:00:00,20210200,20210300,20210300
2021-03-08 23:00:00,20210300,20210400,20210400
2021-04-07 23:00:00,20210400,20210500,20210500
2021-05-07 23:00:00,20210500,20210600,20210600
2021-06-08 23:00:00,20210600,20210700,20210700
2021-07-07 23:00:00,20210700,20210800,20210800
2021-08-09 23:00:00,20210800,20210900,20210900
2021-09-27 18:00:01,20210900,20211000,20211000
2021-10-25 18:00:01,20211000,20211100,20211100
2021-11-24 18:00:01,20211100,20211200,20211200
2021-12-20 19:00:01,20211200,20220100,20220100
2022-01-19 18:00:01,20220100,20220200,20220200
2022-02-11 18:00:01,20220200,20220300,20220300
2022-02-28 18:00:00,20220300,20220400,20220400
